"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"01","DPi","Kevin Magnussen","364","1:36.638","10:56:35.265","Green","Track","23.632","44.918","28.088"
"48","DPi","Simon Pagenaud","364","1:37.015","10:56:36.293","Green","Track","23.479","45.378","28.158"
"31","DPi","Pipo Derani","364","1:37.996","10:56:37.943","Green","Track","24.624","45.295","28.077"
"4","GTLM","Nick Tandy","346","1:44.327","10:56:43.495","Green","Track","25.290","48.406","30.631"
"3","GTLM","Jordan Taylor","346","1:43.684","10:56:43.885","Green","Track","25.146","48.162","30.376"
"14","GTD","Kyle Kirkwood","332","1:47.448","10:56:44.039","Green","Track","25.421","50.215","31.812"
"24","GTLM","Jesse Krohn","346","1:44.155","10:56:45.216","Green","Track","24.983","48.706","30.466"
"60","DPi","Olivier Pla","364","1:39.243","10:56:45.629","Green","Track","24.139","46.143","28.961"
"55","DPi","Harry Tincknell","361","1:38.899","10:56:45.656","Green","Track","23.956","46.236","28.707"
"62","GTLM","Jules Gounon","346","1:43.933","10:56:46.285","Green","Track","24.910","48.461","30.562"
"38","LMP3","Rasmus Lindh","281","2:57.291","10:56:47.102","Green","Pit","25.634","48.711","102.946"
"16","GTD","Patrick Long","336","1:48.937","10:56:47.858","Green","Track","26.524","50.464","31.949"
"1","GTD","Madison Snow","336","1:48.750","10:56:49.771","Green","Track","25.957","50.572","32.221"
"64","GTD","Hugh Plumb","330","1:48.598","10:56:52.641","Green","Track","25.579","50.597","32.422"
"54","LMP3","George Kurtz","323","1:48.002","10:56:56.082","Green","Track","26.185","49.978","31.839"
"25","GTLM","Bruno Spengler","346","1:43.834","10:56:56.331","Green","Track","25.051","48.420","30.363"
"74","LMP3","Scott Andrews","340","1:45.257","10:56:57.842","Green","Track","25.420","48.747","31.090"
"6","LMP3","Moritz Kranz","340","1:45.721","10:57:14.640","Green","Track","25.086","49.190","31.445"
"7","LMP3","Ryan Norman","291","1:45.933","10:57:20.835","Green","Track","25.186","49.349","31.398"
"47","LMP2","Giorgio Sernagiotto","355","1:39.435","10:57:24.716","Green","Track","23.886","46.489","29.060"
"88","GTD","Earl Bamber","335","1:47.369","10:57:26.213","Green","Track","25.442","49.951","31.976"
"5","DPi","Tristan Vautier","318","1:37.834","10:57:29.986","Green","Track","23.257","46.252","28.325"
"18","LMP2","Dwight Merriman","353","1:44.446","10:57:32.994","Green","Track","25.481","48.763","30.202"
"111","GTD","Steijn Schothorst","305","1:47.193","10:57:35.303","Green","Track","25.342","49.824","32.027"
"57","GTD","Maro Engel","337","1:48.020","10:57:36.670","Green","Track","25.679","50.519","31.822"
"75","GTD","Mikael Grenier","337","1:47.015","10:57:41.070","Green","Track","25.297","49.771","31.947"
"82","LMP2","Christopher Mies","353","1:40.041","10:57:43.113","Green","Track","24.407","46.240","29.394"
"21","GTD","Simon Mann","337","1:47.360","10:57:43.438","Green","Track","25.598","49.975","31.787"
"79","GTLM","Richard Lietz","335","1:43.461","10:57:43.371","Green","Track","24.750","48.173","30.538"
"28","GTD","Maxi Buhk","333","1:48.036","10:57:49.769","Green","Track","25.564","50.427","32.045"
"44","GTD","Andy Lally","333","1:48.062","10:57:51.974","Green","Track","25.666","50.269","32.127"
"9","GTD","Lars Kern","337","1:47.535","10:57:53.173","Green","Track","25.647","49.953","31.935"
"11","LMP2","Steven Thomas","355","1:41.799","10:57:54.725","Green","Track","24.787","46.974","30.038"
"23","GTD","Ian James","337","1:48.140","10:57:56.243","Green","Track","25.894","50.082","32.164"
"33","LMP3","Wayne Boyd","337","1:45.659","10:57:58.230","Green","Track","25.388","48.859","31.412"
